"estructura","n","tasa","xi_target","sigma_cal","potencia"
"lineal",100,"1/4",0.15,1.68179283050743,0.728
"senoidal",100,"1/4",0.15,1.23414250304483,0.68
"lineal",500,"1/4",0.100311045746463,2.29181566777581,0.918
"senoidal",500,"1/4",0.100311045746463,1.68179283050743,0.899
"lineal",2000,"1/4",0.0709306206752382,2.67536645755865,0.995
"senoidal",2000,"1/4",0.0709306206752382,1.96325218933023,0.997
"lineal",100,"1/2",0.15,1.68179283050743,0.728
"senoidal",100,"1/2",0.15,1.23414250304483,0.68
"lineal",500,"1/2",0.0670820393249937,2.67536645755865,0.759
"senoidal",500,"1/2",0.0670820393249937,1.96325218933023,0.713
"lineal",2000,"1/2",0.0335410196624968,4.25592590977472,0.636
"senoidal",2000,"1/2",0.0335410196624968,3.12310705562821,0.583
